,Titles,Column_Titles,description,URLs
218,Provision of unpaid care by households with people with a disability by economic activity status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Unpaid care (5 categories) Code', 'Unpaid care (5 categories)', 'Number of disabled people in household (4 categories) Code', 'Number of disabled people in household (4 categories)', 'Economic activity status (4 categories) Code', 'Economic activity status (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in households in England and Wales who are aged 16 years and over by disability, provision of unpaid care, and by economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM116/editions/2021/versions/1
219,Provision of unpaid care by general health by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Unpaid care (5 categories) Code', 'Unpaid care (5 categories)', 'General health (3 categories) Code', 'General health (3 categories)', 'Age (C) (5 categories) Code', 'Age (C) (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 5 years and over in households in England and Wales by provision of unpaid care, by general health, and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM115/editions/2021/versions/1
220,Provision of unpaid care by general health by households with people who have a disability,"['Lower tier local authorities Code', 'Lower tier local authorities', 'General health (3 categories) Code', 'General health (3 categories)', 'Unpaid care (5 categories) Code', 'Unpaid care (5 categories)', 'Number of disabled people in household (4 categories) Code', 'Number of disabled people in household (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 5 years and over in households in England and Wales by provision of unpaid care, general health, and by disability. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM114/editions/2021/versions/1
221,Provision of unpaid care by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Unpaid care (5 categories) Code', 'Unpaid care (5 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 5 years and over in England and Wales by provision of unpaid care and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM113/editions/2021/versions/1
222,Proficiency in English by economic activity status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Proficiency in English language (4 categories) Code', 'Proficiency in English language (4 categories)', 'Economic activity status (4 categories) Code', 'Economic activity status (4 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales by proficiency in English and by economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM112/editions/2021/versions/1
223,Proficiency in English by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Proficiency in English language (4 categories) Code', 'Proficiency in English language (4 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 3 years and over in England and Wales by proficiency in English and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM111/editions/2021/versions/1
224,Passports held by year of arrival in the UK,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Passports held (18 categories) Code', 'Passports held (18 categories)', 'Year of arrival in the UK (6 categories) Code', 'Year of arrival in the UK (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by passports held and by year of arrival in the UK. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM110/editions/2021/versions/1
225,Passports held by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Passports held (18 categories) Code', 'Passports held (18 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by passports held and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM109/editions/2021/versions/1
226,Passports held by country of birth,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Passports held (11 categories) Code', 'Passports held (11 categories)', 'Country of birth (22 categories) Code', 'Country of birth (22 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by country of birth and by passports held. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM108/editions/2021/versions/1
227,Occupation by sex,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by occupation and by sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM107/editions/2021/versions/1
228,Occupation by religion,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Religion (10 categories) Code', 'Religion (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by occupation and by religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM106/editions/2021/versions/1
229,Occupation by hours worked,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Hours worked (5 categories) Code', 'Hours worked (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by occupation and by hours worked. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM105/editions/2021/versions/1
230,Occupation by ethnic group,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Ethnic group (8 categories) Code', 'Ethnic group (8 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by occupation and by ethnic group. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM104/editions/2021/versions/1
231,Occupation by economic activity status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Economic activity status (7 categories) Code', 'Economic activity status (7 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by occupation and by economic activity status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM103/editions/2021/versions/1
232,Occupation by age,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Occupation (current) (10 categories) Code', 'Occupation (current) (10 categories)', 'Age (6 categories) Code', 'Age (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales by occupation and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM102/editions/2021/versions/1
